Name,Year,Rating
The Shawshank Redemption,1994,9.2
The Godfather,1972,9.1
The Godfather: Part II,1974,9.0
The Dark Knight,2008,9.0
12 Angry Men,1957,8.9
Schindler's List,1993,8.9
The Lord of the Rings: The Return of the King,2003,8.9
Pulp Fiction,1994,8.8
"Il buono, il brutto, il cattivo",1966,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
Fight Club,1999,8.8
Forrest Gump,1994,8.8
Inception,2010,8.7
Star Wars: Episode V - The Empire Strikes Back,1980,8.7
The Lord of the Rings: The Two Towers,2002,8.7
The Matrix,1999,8.6
Goodfellas,1990,8.6
One Flew Over the Cuckoo's Nest,1975,8.6
Shichinin no samurai,1954,8.6
Se7en,1995,8.6
